code,Vx,INL_ideal_LSB,DNL_ideal_LSB,INL_fit_LSB,DNL_fit_LSB
150,0.992685,-8.8174,-0.0620,0.0075,-0.0034
151,0.999340,-8.8709,-0.0534,0.0132,0.0057
152,1.005943,-8.9318,-0.0609,0.0110,-0.0022
153,1.012469,-9.0037,-0.0719,-0.0029,-0.0139
154,1.019063,-9.0658,-0.0621,-0.0064,-0.0035
155,1.025719,-9.1192,-0.0534,-0.0006,0.0058
156,1.032252,-9.1900,-0.0708,-0.0133,-0.0128
157,1.038908,-9.2434,-0.0534,-0.0076,0.0058
158,1.045445,-9.3138,-0.0704,-0.0198,-0.0123
159,1.052093,-9.3683,-0.0545,-0.0152,0.0046
160,1.059018,-9.3834,-0.0151,0.0312,0.0464
161,1.065612,-9.4456,-0.0622,0.0277,-0.0035
162,1.072207,-9.5076,-0.0620,0.0243,-0.0034
163,1.078803,-9.5695,-0.0619,0.0211,-0.0033
164,1.085398,-9.6316,-0.0621,0.0175,-0.0035
165,1.091995,-9.6933,-0.0617,0.0145,-0.0031
166,1.098590,-9.7554,-0.0620,0.0111,-0.0034
167,1.105245,-9.8088,-0.0535,0.0168,0.0057
168,1.111773,-9.8805,-0.0717,0.0031,-0.0136
169,1.118374,-9.9416,-0.0611,0.0007,-0.0025
170,1.124968,-10.0038,-0.0621,-0.0028,-0.0035
171,1.131624,-10.0571,-0.0534,0.0029,0.0058
172,1.138157,-10.1280,-0.0708,-0.0098,-0.0128
173,1.144814,-10.1813,-0.0533,-0.0040,0.0058
174,1.151407,-10.2435,-0.0622,-0.0076,-0.0036
175,1.158010,-10.3046,-0.0610,-0.0099,-0.0024
176,1.164924,-10.3212,-0.0166,0.0350,0.0449
177,1.171586,-10.3737,-0.0525,0.0417,0.0067
178,1.178115,-10.4451,-0.0715,0.0283,-0.0134
179,1.184772,-10.4983,-0.0532,0.0343,0.0060
180,1.191304,-10.5694,-0.0711,0.0213,-0.0130
181,1.197903,-10.6308,-0.0614,0.0185,-0.0027
182,1.204497,-10.6930,-0.0622,0.0149,-0.0036
183,1.211098,-10.7542,-0.0612,0.0124,-0.0026
184,1.217749,-10.8082,-0.0540,0.0175,0.0051
185,1.224340,-10.8709,-0.0626,0.0135,-0.0041
186,1.230935,-10.9330,-0.0621,0.0100,-0.0035
187,1.237476,-11.0026,-0.0696,-0.0015,-0.0115
188,1.244124,-11.0572,-0.0546,0.0030,0.0045
189,1.250713,-11.1200,-0.0628,-0.0012,-0.0043
190,1.257307,-11.1823,-0.0622,-0.0049,-0.0036
